StartSS;OW1.00;BIT;
Flag0;FW0;WORD(Bin);
OUT64;O64;WORD(Bin);
flag1;FW1;WORD(Bin);
OUT65;O65;WORD(Bin);
flag2;FW2;WORD(Bin);
OUT66;O66;WORD(Bin);
flag3;FW3;WORD(Bin);
OUT67;O67;WORD(Bin);
flag4;FW4;WORD(Bin);
OUT68;O68;WORD(Bin);
flag5;FW5;WORD(Bin);
OUT69;O69;WORD(Bin);
flag6;FW6;WORD(Bin);
OUT0;O0;WORD(Bin);
IN64;I64;WORD(Bin);
flag7;FW7;WORD(Bin);
IN65;I65;WORD(Bin);
flag8;FW8;WORD(Bin);
IN66;I66;WORD(Bin);
Flagword9;FW9;WORD(Bin);
Input67;I67;WORD(Bin);
Flagword10;FW10;WORD(Bin);
Input68;I68;WORD(Bin);
Flagword11;FW11;WORD(Bin);
Input69;I69;WORD(Bin);
Flagword12;FW12;WORD(Bin);
